,Authors,Title,Year,EWE,ContextEWE,Country,SpeciesBinomial_adj,G_SpeciesGrouped,Kingdom,Type,Frequency,SampleSize(N)
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Phylloscopus fuscatus,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,null,Plantae,Plantae,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Stachyris ruficeps,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Parus major,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Prinia atrogularis,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,null,Plantae,Plantae,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,null,Plantae,Plantae,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Pomatorhinus erythrogenys,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Lonchura striata,Aves,Animalia,Cold Storms,1,NA
55,"Zhang, Qiang; Hong, Yongmi; Zou, Fasheng; Zhang, Min; Lee, Tien Ming; Song, Xiangjin; Rao, Jiteng","Avian responses to an extreme ice storm are determined by a combination of functional traits, behavioural adaptations and habitat modifications",2016,Y,Y,China,Lanius schach,Aves,Animalia,Cold Storms,1,NA
